,name,sort,pic_url,preJudge,songJudge,firstRank,secondRank,thirdRank,finalRank,Facevalue
78,潘小雪,79,https://vfiles.gtimg.cn/vupload/202005/c3a77d1589024711463.jpg,主力队,预备队,79（淘汰）,,,,69.99
79,沈小婷,80,https://vfiles.gtimg.cn/vupload/202005/af155c1589024220726.jpg,板凳队,主力队,80（淘汰）,,,,75.76
80,卫倩妮,81,https://vfiles.gtimg.cn/vupload/202005/c041c31589024635066.jpg,板凳队,主力队,81（淘汰）,,,,74.4
81,吴妙茵,82,https://vfiles.gtimg.cn/vupload/202005/01b3751589024727542.jpg,板凳队,预备队,82（淘汰）,,,,69.75
82,谭思慧,83,https://vfiles.gtimg.cn/vupload/202005/8f86491589024799479.jpg,板凳队,预备队,83（淘汰）,,,,76.24
83,李雨露,84,https://vfiles.gtimg.cn/vupload/202005/b9df071589024848295.jpg,板凳队,预备队,84（淘汰）,,,,72.7
84,陈柔冰,85,https://vfiles.gtimg.cn/vupload/202005/3fd9251589023898549.jpg,板凳队,预备队,85（淘汰）,,,,84.13
85,吕欣蔚,86,https://vfiles.gtimg.cn/vupload/202005/8657531589024971786.jpg,板凳队,预备队,86（淘汰）,,,,64.69
86,宋宇苗,87,https://vfiles.gtimg.cn/vupload/202005/c644a51589024614200.jpg,板凳队,板凳队,87（淘汰）,,,,69.16
87,李佳洁,88,https://vfiles.gtimg.cn/vupload/202005/cb337c1589024599718.jpg,板凳队,主力队,88（淘汰）,,,,64.21
88,张纯如,89,https://vfiles.gtimg.cn/vupload/202005/642c721589024946928.jpg,板凳队,预备队,89（淘汰）,,,,73.35
89,刘诗琦,90,https://vfiles.gtimg.cn/vupload/202005/9385161589024042588.jpg,板凳队,板凳队,90（淘汰）,,,,72.65
90,王靖贤,91,https://vfiles.gtimg.cn/vupload/202005/7475e01589024669356.jpg,板凳队,预备队,91（淘汰）,,,,81.23
91,谢樱俊,92,https://vfiles.gtimg.cn/vupload/202005/5b73761589024431416.jpg,板凳队,板凳队,92（淘汰）,,,,71.64
92,吴晓凝,93,https://vfiles.gtimg.cn/vupload/202005/4b42de1589024233584.jpg,板凳队,板凳队,93（淘汰）,,,,68.55
93,周雨霖,94,https://vfiles.gtimg.cn/vupload/202005/c333c71589024786723.jpg,板凳队,板凳队,94（淘汰）,,,,79.3
94,孙露鹭,95,https://vfiles.gtimg.cn/vupload/202005/00ae071589024679037.jpg,主力队,预备队,95（淘汰）,,,,69.59
95,黄若元,96,https://vfiles.gtimg.cn/vupload/202005/addda21589024647626.jpg,板凳队,预备队,96（淘汰）,,,,84.82
96,谢安诗,97,https://vfiles.gtimg.cn/vupload/202005/48ee961589024743076.jpg,板凳队,板凳队,97（淘汰）,,,,69.79
97,赵天爱,98,https://vfiles.gtimg.cn/vupload/202005/082f171589024959575.jpg,板凳队,板凳队,98（淘汰）,,,,72.06
98,温馨,99,https://vfiles.gtimg.cn/vupload/202005/0666b41589024811814.jpg,板凳队,主力队,99（淘汰）,,,,76.61
99,黄雨晴,100,https://vfiles.gtimg.cn/vupload/202005/d89c631589024822124.jpg,板凳队,主力队,100（淘汰）,,,,67.29
100,胡娅楠,101,https://vfiles.gtimg.cn/vupload/202005/e217001589024777234.jpg,板凳队,板凳队,101（淘汰）,,,,68.95
